Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
Sample131,0.0214054422562063,0.00360701276574619,0,0.0277668902975179,0,0.120588535415466,0.0324550363715819,0.00430594377669428,0,0,0.0677267884845323,0,0.0686772267189218,0.126322757037134,0,0.458784942352717,0.225798372959497,0.062464120679069,0.0148741688759979,0,0.0137867336736005,0.000617479111240306,0,0.536913893481137,0.846609188524972,1.24918145077592
Sample132,0.327385004218223,0.0664118907133948,0.27500027565773,0.19669057314209,0,0.13981355428232,0.0650778863246424,0.223520818072759,0,0.00420588236287849,0,0,0.0590835418360987,0.165527051675804,0.0158815256813185,0.369525655831613,0.000911352241009239,0.0830488085313075,0.154367207891161,0,0,0,0,0.659087533027125,0.780556423346821,2.14645102846235
Sample133,0.0650579212635582,0.0585133765037626,0.070897330609017,0.129303416377599,0,0.162809726814253,0.162856753895498,0.104136167701826,0,0,0.0202432753301803,0,0.00540682315971918,0.123125554954683,0.0274211727565167,0.195502539087314,0.265257696259314,0.0382595996324352,0.0627390470185034,0.00253456002514945,0.0206140551966532,0.0251179979907334,0,0.288151693796437,0.95994744946399,1.53979701457672
Sample134,0.184341083117443,0.114788394130125,0.104566401214571,0.133989331376669,0,0.367803446672336,0.0850704034880363,0.165710227331121,0,0.0594232262506471,0,0,0.0658598948301669,0.0130393547807959,0.0313293826208146,0.244273226732018,0,0.0737689704531749,0.115726084159304,0.0916240952966987,0,0.0163822860544147,0,0.399948725858138,0.915600305240946,1.86769580850834
Sample135,0.0729078827165951,0.0851481877825349,0.00556702239234395,0.0910208667457823,0,0.164512087723778,0.0664085956378321,0.0242838679813366,0,0.0175805645273798,0.0550039444854125,0,0.0147061243681881,0.047581154884114,0.025123303584128,0.159544780663908,0.133397236633323,0,0.0283238620177236,0,0.0172186657019883,0,0,0.483133469580646,0.879734476438771,1.00832814784637
Sample137,0.122937009549012,0.256834593256637,0.201357677117155,0.343549156741308,0,0.46802234658508,0.0469838562762474,0.10415252456192,0.0048063169876343,0.0337047680696277,0.0593443514406845,0.029169129499182,0,0.352133848119981,0.209915459618419,0.608133235387958,0,0,0,0.0238584283868585,0,0,0,0.473903254101963,0.880260892212961,2.8649027015977
Sample13,0.00530840996399182,0.0158609757669694,0.0433232157987077,0.0372674577430741,0,0.0759122639307591,0.0235798524492705,0.0236270719087228,0,0,0.0156358290462335,0.000769185620850367,0.0392081674925462,0.130428960823228,0.000802509223734372,0.116540359573991,0.0700017817808811,0.0208534358455838,0,0.0138997965077335,0.0394298096865303,0.00122834686729371,0,0.579746432137874,0.830102312237982,0.673677430030101
Sample140,0.0471140038268011,0,0,0.0391252667095271,0,0.0200476480296509,0.0212586838535007,0.070300427858386,0,0.00269733147000125,0.0125287547681219,0,0.00297382665116758,0.0806836057855949,5.71585832929105e-05,0.184868711986688,0.153918007026423,0.00694859333341123,0.021034857461168,0,0.0393611766178256,0,0,0.323553778706029,0.9510970912199,0.70291805396156
Sample141,0.0175442973395857,0.00371534192155412,0.00645770199839715,0.00642890457006855,0,0.0551273026040616,0.0153398528629619,0.0134935236680967,0,0,0.0292093260088699,0,0,0.295051369157918,0,0.0864268318384623,0,0.0229667370354918,0.0299412661448861,0,0.0145804672731308,0,0,0.49698204532436,0.873373114792533,0.596282922423484
Sample142,0.0384664680724687,0.0520869736698699,0.0604066819748243,0.136279008437615,0,0.0515586861056087,0.0839707958255231,0.0481187154132367,0,0.0306649288160559,0.00423047897268111,0,0.0618424298808111,0.0271633271385751,0,0.427416696718033,0.209605829480345,0.0722073358133781,0.0525277747294731,0,0.00120012656304759,0.00045931281149085,0,0.480151669570106,0.881443141351313,1.35820557042304
